customer_id,total_spent,average_purchase_value,number_of_purchases,most_frequent_category
CUST_001,1550.75,96.92,16,Home & Garden
CUST_002,1313.75,101.06,13,Electronics
CUST_003,1323.92,110.33,12,Clothing
CUST_004,1102.69,100.24,11,Electronics
CUST_005,1199.27,109.02,11,Electronics
CUST_006,802.74,100.34,8,Books
CUST_007,801.41,100.18,8,Books
CUST_008,1203.26,92.56,13,Books
CUST_009,921.31,92.13,10,Sports
CUST_010,590.19,98.36,6,Books
CUST_011,373.26,93.32,4,Sports
CUST_012,1603.72,123.36,13,Electronics
CUST_013,986.11,98.61,10,Books
CUST_014,1027.18,102.72,10,Sports
CUST_015,1136.04,113.6,10,Books
CUST_016,1384.32,106.49,13,Books
CUST_017,1551.92,103.46,15,Home & Garden
CUST_018,876.2099999999999,97.36,9,Home & Garden
CUST_019,1257.59,89.83,14,Sports
CUST_020,662.77,94.68,7,Clothing
CUST_021,1089.46,108.95,10,Electronics
CUST_022,562.85,93.81,6,Sports
CUST_023,1293.62,99.51,13,Sports
CUST_024,1514.24,108.16,14,Electronics
CUST_025,1082.35,108.23,10,Sports
CUST_026,882.95,98.11,9,Electronics
CUST_027,1203.93,109.45,11,Electronics
CUST_028,1050.41,105.04,10,Books
CUST_029,682.77,85.35,8,Home & Garden
CUST_030,1045.25,104.52,10,Clothing
CUST_031,356.43,118.81,3,Electronics
CUST_032,1316.75,109.73,12,Books
CUST_033,1775.29,98.63,18,Books
CUST_034,927.71,103.08,9,Home & Garden
CUST_035,1012.99,101.3,10,Electronics
CUST_036,1073.1200000000001,89.43,12,Electronics
CUST_037,747.92,106.85,7,Home & Garden
CUST_038,1058.71,105.87,10,Electronics
CUST_039,1189.44,99.12,12,Books
CUST_040,459.15999999999997,91.83,5,Electronics
CUST_041,488.21,122.05,4,Books
CUST_042,786.47,87.39,9,Electronics
CUST_043,502.43,100.49,5,Books
CUST_044,1114.02,111.4,10,Electronics
CUST_045,905.16,100.57,9,Books
CUST_046,727.08,103.87,7,Clothing
CUST_047,1192.93,99.41,12,Electronics
CUST_048,1067.98,97.09,11,Electronics
CUST_049,907.73,100.86,9,Books
CUST_050,920.66,102.3,9,Sports
CUST_051,1525.01,117.31,13,Books
CUST_052,1239.52,103.29,12,Clothing
CUST_053,1005.77,91.43,11,Sports
CUST_054,1203.9,100.32,12,Clothing
CUST_055,683.14,97.59,7,Clothing
CUST_056,847.09,94.12,9,Sports
CUST_057,1038.34,115.37,9,Books
CUST_058,1458.72,97.25,15,Clothing
CUST_059,956.3199999999999,95.63,10,Books
CUST_060,1249.85,113.62,11,Sports
CUST_061,1261.31,105.11,12,Books
CUST_062,2102.22,110.64,19,Home & Garden
CUST_063,1138.51,87.58,13,Home & Garden
CUST_064,872.71,96.97,9,Clothing
CUST_065,878.05,109.76,8,Sports
CUST_066,650.18,81.27,8,Home & Garden
CUST_067,1058.82,105.88,10,Sports
CUST_068,586.52,117.3,5,Books
CUST_069,1318.63,109.89,12,Home & Garden
CUST_070,704.3199999999999,100.62,7,Books
CUST_071,607.08,101.18,6,Sports
CUST_072,828.12,103.52,8,Electronics
CUST_073,681.52,97.36,7,Sports
CUST_074,1046.1599999999999,104.62,10,Home & Garden
CUST_075,1220.66,101.72,12,Electronics
CUST_076,828.48,103.56,8,Electronics
CUST_077,590.91,84.42,7,Home & Garden
CUST_078,782.13,97.77,8,Clothing
CUST_079,596.2,99.37,6,Electronics
CUST_080,769.48,96.18,8,Books
CUST_081,615.33,87.9,7,Books
CUST_082,672.54,96.08,7,Books
CUST_083,450.57,112.64,4,Clothing
CUST_084,926.51,115.81,8,Home & Garden
CUST_085,775.44,96.93,8,Sports
CUST_086,1554.97,103.66,15,Clothing
CUST_087,999.85,99.98,10,Clothing
CUST_088,906.17,100.69,9,Home & Garden
CUST_089,1574.54,112.47,14,Clothing
CUST_090,2040.24,102.01,20,Electronics
CUST_091,480.90999999999997,96.18,5,Home & Garden
CUST_092,1779.33,93.65,19,Clothing
CUST_093,1075.36,97.76,11,Books
CUST_094,790.46,98.81,8,Books
CUST_095,1139.49,113.95,10,Electronics
CUST_096,1382.41,106.34,13,Home & Garden
CUST_097,958.23,106.47,9,Sports
CUST_098,646.45,92.35,7,Home & Garden
CUST_099,2000.9,111.16,18,Sports
CUST_100,887.31,98.59,9,Home & Garden
